№;Укажите тип Вашей общеобразовательной организации;Укажите классы, в которых Вы ведёте педагогическую деятельность как учителя литературы;На Ваш взгляд, достаточное ли количество часов отводится на зарубежную литературу в школе на данный момент?;Как Вы считаете, какое процентное соотношение должно быть между русской литературой и зарубежной при изучении в школе?;С какими проблемами Вы сталкиваетесь в преподавании зарубежной литературе?;К каким источникам материала Вы обращаетесь при поиске методических разработок по изучению зарубежной литературы?;Проявляют ли интерес школьники к изучению зарубежной литературы?
6;Средняя общеобразовательная школа;5–6 классы;Да;70%–30%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к методическим пособиям; к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции)";Не более, чем к русской
;;;;;;;
;;;;;;;
7;Основная общеобразовательная школа;5, 9,11 классы;Да;80%–20%;– другой;– к методическим пособиям;В 5 классе
8;Основная общеобразовательная школа;6, 9 классы;Нет;70%–30%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"–к методическим пособиям; ";Если произведение затрагивает актуальные проблемы современности, то интересно.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
9;Средняя общеобразовательная школа;5–6, 11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да, особенно к современной
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к научно-методическим журналам;";
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;"–к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
10;Основная общеобразовательная школа;5–11 классы;Нет;50%–50%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе";"– к методическим пособиям;";Да, потому что им интересна культура и история той страны, чье произведение изучается
;;;;; ;"– к научно-методическим журналам;";
;;;;;;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
11;Средняя общеобразовательная школа;6–8, 10–11 классы;Да;80%–20%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к методическим пособиям;";Из-за отсутствия текстов в бумажном варианте 10–11 классы зарубежную литературу изучают по фильмам, особого интереса при этом не проявляют
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
12;Гимназия;8–11 классы;Нет ;80%–20%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";– к научно-методическим журналам;Крайне редко, как и к изучению литературы вообще
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";;
13;Средняя общеобразовательная школа;6, 8, 10 классы;Нет;70%– 30%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции); ";Да, им она гораздо интереснее отечественной. предполагаю, дело в том, что имена зарубежных авторов еще не набили оскомину, не вызывают негативных ассоциаций. примерно такая же положительная реакция у детей на современных ответственных авторов. мои самые успешные уроки литературы в этом году были посвящены романам «Убить пересмешника» и «Гарри Поттер и философский камень»
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок).";
14;Репетитор (самозанятый);9–11 классы;Нет;90%–10%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок)";Да, зарубежка вызывает порой бОльший интерес, чем русская литература
;;;;;;;
15;Средняя общеобразовательная школа;5–11 классы;Да;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к научно-методическим журналам;   ";Да, и весьма серьёзный. Особенно старшеклассники: Ремарк, Золя, Паланик, Зусак и др.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
;;;;;;;
16;Гимназия;9–11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям; ";Да. Я стараюсь давать произведения (нарушая нынешнюю программу) в параллели, чтобы дети видели и понимали сходства литературного процесса в том или ином историческом промежутке, подчёркиваю связи русских и зарубежных авторов, выделяя при этом специфические черты.
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции); ";
;;;;;;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
17;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;5–11 классы;Да;70%–30%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к методическим пособиям; ";На мой взгляд, школьники проявляют или не проявляют интерес к литературе независимо от того, российская она или зарубежная.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
18;Гимназия;6, 8, 10 классы;Нет;70%–30%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";– к научно- методическим пособиям ;Проявляют. Им интересны сюжеты, они с удовольствием смотрят художественные фильмы и мультфильмы по произведениям. Минус в том, что в учебниках даются отрывки из книг.
;;;;;;;
19;Гимназия;5–9 классы;Нет;60%-40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе; ";"–к методическим пособиям; к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";Да, проявляют и сожалеют, что на изучение этого раздела отводится так мало времени.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;;
20;Основная общеобразовательная школа;5, 8, 11 классы;Нет;80%–20%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к научно-методическим журналам;";- 
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы.;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
21;Средняя общеобразовательная школа;5–11 классы;Да;90%–10%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);Да. Детям нравятся произведения классиков зарубежной литературы. 
22;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;6, 8, 11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе; ";"– к методическим пособиям;";Факт иностранного происхождения писателя не является решающим в проявлении интереса именно к зарубежной литературе, скорее, содержательная сторона читаемого: близка ли тема, понятен ли язык, интересен ли сюжет, актуальны ли поднимаемые вопросы для детей в конкретный период их жизни (тут как раз и проявляются недостатки программного материала в части подборки, о чем я сказала двумя пунктами выше)
;;;;;– другое: подбор произведений для изучения;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;; ;"–к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
23;Средняя общеобразовательная школа;11 класс;Нет;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература»";"– к методическим пособиям;";Проявляют
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"").";
24;Средняя общеобразовательная школа;5–6, 9–11 классы;Да;80%–20%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к научно-методическим журналам.;За редким исключением. 
25;Средняя общеобразовательная школа;6, 11 классы;Нет;50%–50%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да, просят изучить отдельные произведения. На уроке иногда проводим параллели между русской и зарубежной литературой, причем сами ученики называют эти параллели.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к научно-методическим журналам;";
;;;;;;"к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
26;Гимназия;5,7 классы;Нет;70%–30%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";Да. Проявляют. Интересно сравнение с произведениями русской литературы.
27;Гимназия;6, 11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Проявляют, особенно 5-6 классы и читающие «взрослые» 10-11 классы.
;;;;;;"–к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
28;Средняя общеобразовательная школа;6, 10–11 классы;Да;90%–10%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";Не все школьники проявляют интерес. В 6 кл., например, предложены к изучению крупные произведения, а выделены на них только 1-2 часа. Большие тексты не читают.
29;Средняя общеобразовательная школа;6–8, 11 классы;Нет;70%–30%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к научно-методическим журналам;";Конечно, проявляют. Но времени порой не хватает даже на обзор.
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы.;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
30;Лицей;5,7, 11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да! Читают с интересом.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
;;;;;;;
31;Лицей;5,9 классы;Нет;60–40%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к методическим пособиям;";Да, у детей есть любимые произведения, которые не изучаются в школе или изучаются обрывками
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к научно-методическим журналам;";
;;;;;;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
32;Средняя общеобразовательная организация;5,8,10 классы;Нет;70%–30%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Проявляют интерес к комиксам, мангам.
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
33;Средняя общеобразовательная организация;5, 9–11 классы;Нет;70%–30%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Нет
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
34;Средняя общеобразовательная организация;8–11 классы;Нет;70%–30%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к научно-методическим журналам;";Да, особенно при подготовке к итоговому сочинению.
;;;;;;–к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
35;Средняя общеобразовательная организация;8–9, 11 классы;Нет;50%–50% ;– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе.;"– к методическим пособиям;";Да, и к прозе, и поэзии, и к разным векам, и к 20–21 векам
;;;;;;"– к научно-методическим журналам;";
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
36;Лицей;5-11 классы;Нет;70%-30%;"Недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе; ";К опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);Да
;;;;;нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы.;;
37;Средняя общеобразовательная организация;6, 8, 11 классы;Нет;70%–30%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да, зарубежная литература детям очень нравится
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к научно-методическим журналам;";
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
38;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;5, 8, 10 классы;Нет;80% –20%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к методическим пособиям;";Не все, но некоторые дети с удовольствием изучали бы, если было бы достаточное количество часов на русскую классику.
;;;;;;"– к научно-методическим журналам;";
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
39;Репетитор (самозанятый);8–11 классы;Нет;70%–30%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Да
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
40;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;10–11 классы;Да;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Увы, все часы, отведенные в конце года на изучение зарубежной литературы, уходят на русскую - догоняем программу.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
41;Основная общеобразовательная школа;6–7, 9 классы;Да;90%–10%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";"– к методическим пособиям; ";Да
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы.;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок».;
42;Основная общеобразовательная школа;5 класс ;Нет;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";– другое: монографии литературоведов, «Арзамас»;Да, проявляют. Другой мир, другая культура, другие традиции. Интересно в сравнении с отечественной литературой.
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;;
43;Средняя общеобразовательная школа;5–11 классы;Нет;80%–20%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";По-разному в разных классах
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
44;Средняя общеобразовательная школа;5–6 классы;Нет;60%–40%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к методическим пособиям;";Да, поскольку, зачастую, образы и сюжеты зарубежных произведениях ярче и интереснее
;;;;;;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции).;
;;;;;;;
45;Средняя общеобразовательная школа;5, 7, 9 классы;Нет;70%–30%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Интерес к зарубежной литературе проявляют читающие дети
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
46;Средняя общеобразовательная школа;8–9 классы;Да;80%–20%; – нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к методическим пособиям;";Нет однозначного ответа. В зависимости от мотивации детей к изучению литературы в целом.
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
47;Гимназия;5, 7–9 классы;Нет;60%–40%;– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);Да
48;Основная общеобразовательная школа;5, 7–8 классы;Нет;80%–20%;"Недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);Не проявляют
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
;;;;;;;
49;Основная общеобразовательная школа;5–9 классы;Нет;70%–30%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Проявляют в основном интерес к современной зарубежной литературе
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы. ;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
50;Основная общеобразовательная школа;5–9 классы;Нет;70%–30%;– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;"– к методическим пособиям;";Проявляют
;;;;;;"– к научно-методическим журналам;";
;;;;;;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
51;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;7–8, 10–11 классы;Нет;70%–30%;"– недостаточное количество часов на раздел «Зарубежная литера-тура», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
52;Гимназия;7, 9, 11 классы;Да;90%–10%;–из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;"– к методическим пособиям;";Ниже среднего
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
53;Средняя общеобразовательная школа;5, 7, 10–11 классы;Нет;60%–40%;– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;"– к методическим пособиям;";По моему мнению, особенно в старшей школе, без знания литературных процессов в зарубежной литературе невозможно понять, прочувствовать, осознать те явления, которые характерны для сокровищницы мировой литературы, особенности процессов современной литературы. Ребята, подростки, с удовольствием читают зарубежных авторов. Истории героев, проблемы, затронутые авторами ближе и понятнее им. Тогда с удовольствием они сопоставляют и анализируют русскую и зарубежную литературы.
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мульти-урок»);
54;Лицей;5–11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да, детям очень нравится зарубежная литература 
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
55;Гимназия;5–8 классы;Нет ;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"К методическим пособиям; ";Проявляют. Любят читать приключения и фантастику. 
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
56;Основная общеобразовательная школа;5, 6, 9 классы;Да;90%–10%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;– к методическим пособиям;Да, интересуются, особенно современными зарубежными авторами
57;Средняя общеобразовательная школа;5, 7–10 классы;Нет;70%–30%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Школьники проявляют интерес к изучению зарубежной литературы, в том числе современной
;;;;;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература» ;"– к научно-методическим журналам;";
;;;;;;"к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
58;Средняя общеобразовательная школа;5–7, 10–11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Не все обучающиеся заинтересованы изучением литературы в целом
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок» ;
59;Средняя общеобразовательная школа;6–7, 9, 11 классы;Да;90%–10%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература» ;"– к методическим пособиям;";Частично
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
60;Основная общеобразовательная школа;5, 7–8, 10–11 классы;Да;80%–20%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);По отдельным произведениям
61;Средняя общеобразовательная школа;6–8, 10 классы;Да;90%–10%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";Ещё как проявляют. Особенно обсуждаемые «Маленький принц», «Ромео и Джульетта», «Маттео Фальконе».
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок». ;
62;Средняя общеобразовательная школа;5–9 классы;Да;90%–10%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к методическим пособиям;";Неохотно
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
63;Средняя общеобразовательная школа;7, 10 классы;Да;90%–10%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";"– к методическим пособиям;";Да, небольшие рассказы привлекают их внимание
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к научно-методическим журналам;";
;;;;;;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
